,t,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10,t-11,t-12,t-13,t-14,t-15,t-16,t-17,t-18,t-19,t-20,t-21,t-22,t-23,t-24,t-25,t-26,t-27,t-28,t-29,t-30,t-31,t-32,t-33,t-34,t-35,t-36
10,-0.02892233558814883,-0.028909796899144524,-0.11115354707063607,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056,-0.07983013297923569,-0.07967226617394807
11,-0.028934846191208785,-0.02892233558814883,-0.028909796899144524,-0.11115354707063607,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056,-0.07983013297923569
12,-0.028947328802585104,-0.028934846191208785,-0.02892233558814883,-0.028909796899144524,-0.11115354707063607,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056
13,-0.08284359708382527,-0.028947328802585104,-0.028934846191208785,-0.02892233558814883,-0.028909796899144524,-0.11115354707063607,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781
14,-0.19036541418923725,-0.08284359708382527,-0.028947328802585104,-0.028934846191208785,-0.02892233558814883,-0.028909796899144524,-0.11115354707063607,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244
15,0.08160309410307098,-0.19036541418923725,-0.08284359708382527,-0.028947328802585104,-0.028934846191208785,-0.02892233558814883,-0.028909796899144524,-0.11115354707063607,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741
16,-0.0430835318168199,0.08160309410307098,-0.19036541418923725,-0.08284359708382527,-0.028947328802585104,-0.028934846191208785,-0.02892233558814883,-0.028909796899144524,-0.11115354707063607,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104
17,-0.043084429879689634,-0.0430835318168199,0.08160309410307098,-0.19036541418923725,-0.08284359708382527,-0.028947328802585104,-0.028934846191208785,-0.02892233558814883,-0.028909796899144524,-0.11115354707063607,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098
18,-0.04308532848206725,-0.043084429879689634,-0.0430835318168199,0.08160309410307098,-0.19036541418923725,-0.08284359708382527,-0.028947328802585104,-0.028934846191208785,-0.02892233558814883,-0.028909796899144524,-0.11115354707063607,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448
19,0.01199278825667327,-0.04308532848206725,-0.043084429879689634,-0.0430835318168199,0.08160309410307098,-0.19036541418923725,-0.08284359708382527,-0.028947328802585104,-0.028934846191208785,-0.02892233558814883,-0.028909796899144524,-0.11115354707063607,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556
